order_id,date,category,product,quantity,unit_price,total,customer_age,customer_gender,city,payment_method,rating
1001,2024-01-03,Electronics,Headphones,1,59.99,59.99,28,Female,Bangkok,Credit Card,8.5
1002,2024-01-04,Food,Chocolate,3,4.50,13.50,35,Male,Chiang Mai,Cash,7.0
1003,2024-01-05,Clothing,T-Shirt,2,19.99,39.98,22,Female,Bangkok,E-wallet,9.0
1004,2024-01-06,Electronics,Phone Case,1,12.99,12.99,45,Male,Phuket,Credit Card,6.5
1005,2024-01-07,Food,Coffee,4,6.75,27.00,30,Female,Bangkok,Cash,8.0
1006,2024-01-08,Health,Vitamins,2,24.99,49.98,52,Female,Chiang Mai,E-wallet,9.5
1007,2024-01-09,Clothing,Jeans,1,49.99,49.99,27,Male,Bangkok,Credit Card,7.5
1008,2024-01-10,Food,Snacks,5,2.99,14.95,19,Male,Phuket,Cash,6.0
1009,2024-01-11,Electronics,Earbuds,1,89.99,89.99,33,Female,Bangkok,E-wallet,9.0
1010,2024-01-12,Health,Face Mask,3,8.99,26.97,41,Female,Chiang Mai,Credit Card,8.0
1011,2024-01-13,Food,Green Tea,2,5.50,11.00,38,Male,Bangkok,Cash,7.5
1012,2024-01-14,Clothing,Dress,1,69.99,69.99,26,Female,Phuket,E-wallet,9.5
1013,2024-01-15,Electronics,USB Cable,2,9.99,19.98,31,Male,Bangkok,Credit Card,6.0
1014,2024-01-16,Food,Bread,3,3.25,9.75,44,Female,Chiang Mai,Cash,7.0
1015,2024-01-17,Health,Sunscreen,1,18.99,18.99,29,Female,Phuket,E-wallet,8.5
1016,2024-01-18,Clothing,Shoes,1,89.99,89.99,36,Male,Bangkok,Credit Card,8.0
1017,2024-01-19,Food,Juice,4,3.99,15.96,23,Female,Bangkok,Cash,6.5
1018,2024-01-20,Electronics,Laptop Stand,1,34.99,34.99,40,Male,Chiang Mai,E-wallet,9.0
1019,2024-01-21,Health,Protein Bar,6,2.50,15.00,25,Male,Bangkok,Credit Card,7.0
1020,2024-01-22,Food,Pasta,2,4.75,9.50,48,Female,Phuket,Cash,8.0
1021,2024-01-23,Clothing,Jacket,1,129.99,129.99,34,Male,Bangkok,E-wallet,9.5
1022,2024-01-24,Electronics,Mouse,1,29.99,29.99,27,Female,Chiang Mai,Credit Card,7.5
1023,2024-01-25,Food,Milk,3,2.99,8.97,55,Male,Bangkok,Cash,6.0
1024,2024-01-26,Health,Shampoo,2,12.50,25.00,32,Female,Phuket,E-wallet,8.0
1025,2024-01-27,Clothing,Socks,4,5.99,23.96,21,Male,Bangkok,Credit Card,7.0
1026,2024-01-28,Electronics,Keyboard,1,79.99,79.99,39,Male,Chiang Mai,E-wallet,9.0
1027,2024-01-29,Food,Eggs,2,3.50,7.00,46,Female,Bangkok,Cash,7.5
1028,2024-01-30,Health,Toothbrush,3,6.99,20.97,28,Male,Phuket,Credit Card,8.5
1029,2024-01-31,Clothing,Hat,1,24.99,24.99,33,Female,Bangkok,E-wallet,9.0
1030,2024-02-01,Electronics,Charger,1,19.99,19.99,37,Male,Chiang Mai,Cash,6.5
1031,2024-02-02,Food,Yogurt,4,2.25,9.00,24,Female,Bangkok,Credit Card,7.0
1032,2024-02-03,Health,Hand Cream,2,9.99,19.98,43,Female,Phuket,E-wallet,8.0
1033,2024-02-04,Clothing,Scarf,1,34.99,34.99,29,Male,Bangkok,Cash,9.0
1034,2024-02-05,Electronics,Speaker,1,49.99,49.99,31,Female,Chiang Mai,Credit Card,8.5
1035,2024-02-06,Food,Rice,5,1.99,9.95,50,Male,Bangkok,E-wallet,7.0
1036,2024-02-07,Health,Eye Drops,1,11.99,11.99,36,Female,Phuket,Cash,6.0
1037,2024-02-08,Clothing,Belt,1,29.99,29.99,42,Male,Bangkok,Credit Card,7.5
1038,2024-02-09,Electronics,Webcam,1,69.99,69.99,26,Female,Chiang Mai,E-wallet,9.5
1039,2024-02-10,Food,Butter,2,4.25,8.50,38,Male,Bangkok,Cash,8.0
1040,2024-02-11,Health,Lip Balm,3,4.99,14.97,22,Female,Phuket,Credit Card,7.0
1041,2024-02-12,Clothing,Shorts,2,22.99,45.98,27,Male,Bangkok,E-wallet,8.5
1042,2024-02-13,Electronics,Tablet,1,299.99,299.99,44,Female,Chiang Mai,Credit Card,9.0
1043,2024-02-14,Food,Cheese,2,6.50,13.00,33,Male,Bangkok,Cash,7.5
1044,2024-02-15,Health,Body Lotion,1,15.99,15.99,39,Female,Phuket,E-wallet,8.0
1045,2024-02-16,Clothing,Swimwear,1,44.99,44.99,25,Female,Bangkok,Credit Card,9.5
1046,2024-02-17,Electronics,Smart Watch,1,199.99,199.99,35,Male,Chiang Mai,E-wallet,8.5
1047,2024-02-18,Food,Cereal,3,5.25,15.75,47,Female,Bangkok,Cash,7.0
1048,2024-02-19,Health,Deodorant,2,7.99,15.98,30,Male,Phuket,Credit Card,6.5
1049,2024-02-20,Clothing,Cardigan,1,59.99,59.99,36,Female,Bangkok,E-wallet,9.0
1050,2024-02-21,Electronics,Power Bank,1,39.99,39.99,28,Male,Chiang Mai,Cash,8.0
